pricePerServing,weightPerServing,vegetarian,vegan,glutenFree,dairyFree,sustainable,lowFodmap,ketogenic,whole30,readyInMinutes,aggregateLikes,spoonacularScore,healthScore,percentProtein,percentFat,percentCarbs,calories,Fat/g,Saturated Fat/g,Carbohydrates/g,Sugar/g,Cholesterol/mg,Sodium/mg,Protein/g,Vitamin B3/mg,Selenium/µg,Phosphorus/mg,Iron/mg,Vitamin B2/mg,Calcium/mg,Vitamin B1/mg,Folate/µg,Potassium/mg,Copper/mg,Zinc/mg,Manganese/mg,Magnesium/mg,Vitamin B12/µg,Vitamin B5/mg,Vitamin B6/mg,Vitamin E/mg,Fiber/g,Vitamin A/IU,Vitamin D/µg,Vitamin K/µg,Vitamin C/mg
5.6051,226,0,False,0,True,0,False,0,False,45,3,75.0,29.0,39.64,25.43,34.93,384.09,10.53,3.6,32.53,0.17,145.28,955.48,36.92,23.67,73.82,428.72,7.22,0.66,295.1,0.42,96.75,778.81,0.43,3.09,0.4,73.36,1.07,1.38,0.26,1.09,1.16,154.8,0.29,0.0,0.0
0.8206,33,0,False,0,True,0,False,0,False,15,0,32.0,4.0,36.52,36.52,26.96,57.07,2.28,0.47,3.79,0.5,12.76,59.43,5.13,3.42,9.85,49.24,0.99,0.08,43.55,0.05,9.86,103.37,0.06,0.46,0.11,12.62,0.13,0.2,0.04,0.29,0.38,0.0,0.0,7.18,0.0
4.38,364,0,False,0,True,0,False,0,False,45,0,83.0,63.0,6.74,66.86,26.4,942.08,72.72,9.0,64.61,11.09,1.92,296.97,16.51,2.86,2.24,223.51,4.49,0.43,207.76,0.18,96.54,848.6,0.41,1.53,1.03,122.71,0.0,0.78,0.27,17.01,9.99,21572.42,0.0,104.27,32.6
8.1122,711,0,False,1,True,0,False,0,False,45,11,94.0,70.0,29.89,64.41,5.7,1697.23,122.21,36.39,24.3,14.09,436.23,583.67,127.61,50.14,207.74,1139.83,9.35,1.99,406.7,2.76,19.75,1875.89,1.22,17.27,2.3,187.05,3.64,5.24,2.73,5.23,2.1,180.52,6.24,16.02,3.88
0.2557,36,0,False,0,False,0,False,0,False,3,0,14.0,1.0,11.01,39.96,49.03,112.75,5.05,2.8,13.95,1.71,10.75,276.25,3.13,1.68,8.14,44.24,1.02,0.08,40.64,0.13,24.41,52.96,0.05,0.34,0.34,13.64,0.0,0.24,0.03,0.19,1.24,128.27,0.0,2.21,0.0
1.505,83,0,False,0,True,0,False,0,False,15,0,36.0,6.0,9.93,79.28,10.79,356.02,31.47,4.74,9.64,0.08,60.33,48.39,8.87,4.99,18.76,88.66,1.92,0.19,53.01,0.12,30.96,145.73,0.09,0.75,0.11,16.55,0.29,0.42,0.07,4.44,0.35,88.84,0.23,17.46,0.0
0.8603000000000001,101,0,False,0,True,0,False,0,False,45,31,69.0,14.0,12.37,57.91,29.72,142.07,9.24,1.4,10.67,2.63,7.2,89.34,4.44,2.69,6.98,55.13,1.14,0.09,46.59,0.13,23.05,218.36,0.09,0.48,0.2,17.32,0.11,0.2,0.09,1.53,1.37,498.84,0.0,13.29,8.57
5.5005,244,0,False,1,True,0,False,0,True,420,7,82.0,33.0,45.61,48.71,5.68,221.39,11.29,2.28,2.96,0.27,68.04,1904.29,23.79,16.3,42.08,216.37,5.27,0.32,210.52,0.08,24.6,558.27,0.29,2.19,0.24,59.22,0.7,0.8,0.24,2.47,1.49,1271.31,0.0,130.12,10.29
4.1332,203,0,False,1,True,0,False,1,True,45,6,95.0,82.0,27.56,62.99,9.45,265.68,18.35,3.04,6.19,3.69,50.0,287.85,18.06,12.59,30.61,173.13,3.68,0.29,140.54,0.1,51.04,540.94,0.21,1.71,0.19,49.36,0.52,0.82,0.39,3.75,1.97,2830.48,0.0,78.82,114.99
0.9284,144,1,False,0,False,0,False,0,False,12,15,96.0,45.0,14.07,25.16,60.77,581.03,16.3,2.9,88.56,3.61,8.67,107.69,20.51,2.17,74.23,347.64,2.14,0.13,136.43,0.18,39.61,355.42,0.64,2.43,1.74,94.13,0.09,0.65,0.31,0.28,4.96,0.0,0.0,0.0,1.18
